classification,Coin,Size USD
Extreme Fear,BTC,36751523.27
Extreme Fear,HYPE,29253178.69
Extreme Fear,SOL,26241359.78
Extreme Fear,ETH,7720053.08
Extreme Fear,XRP,3818933.1
Fear,BTC,300912163.3
Fear,HYPE,63327528.27
Fear,SOL,51824505.65
Fear,ETH,39635351.1
Fear,@107,8182406.93
Neutral,BTC,98386717.32
Neutral,HYPE,27570986.89
Neutral,ETH,17590391.62
Neutral,SOL,16118744.79
Neutral,@107,7717676.43
Greed,BTC,164299783.9
Greed,ETH,37325288.1
Greed,SOL,22849528.78
Greed,@107,16923981.98
Greed,HYPE,11751723.2
Extreme Greed,BTC,43881928.84
Extreme Greed,@107,20452573.55
Extreme Greed,ETH,16009910.17
Extreme Greed,HYPE,10086789.0
Extreme Greed,SOL,8040613.06
